,review,sentiment
15015,"Today actresses happily gain weight, dye their hair, dress like slobs, and lose their glamor for a role, and Bette Davis was probably the actress who started the trend. Even as a pretty young woman who occasionally wore designer clothes and Constance Bennett-type makeup in films, Davis was willing to ravage herself in order to create a character on the outside as well as the inside.<br /><br />Her determination is amply demonstrated here in her breakout film, ""Of Human Bondage,"" in which she stars with Leslie Howard as Philip Carey. Davis plays Mildred, a slutty, manipulative, greedy low-life to Howard's masochistic, club-footed Philip. He first meets her when she's a waitress, and she allows him to take her out to dinner and theater while she frolics with a wealthy older man (Alan Hale Sr.). In truth, Mildred is repulsed by Philip's club foot. On his part, Philip seems to enjoy the abuse of her open flirtation and her coolness toward him. He allows Mildred to bleed him dry financially in between boyfriends who drop her when they tire of her, while he blows off a couple of truly lovely women (Kay Johnson and Frances Dee). When he gets the gumption to throw her out, Mildred trashes his apartment and robs him, forcing him to withdraw from medical school and lose his lodgings.<br /><br />""Of Human Bondage"" looks rather stilted today in parts. Though Leslie Howard was a wonderful actor and attractive, his acting style is of a more formal old school, and as a result, he tends to date whatever he's in. He shines in material like his role opposite Davis in ""It's Love I'm After"" or ""The Petrified Forest"" which call for his kind of technique. His dated acting is even more obvious here because Davis was forging new ground with a gritty, edgy performance that would really make her name. If she seems at times over the top, she came from the stage, and the subtleties of film acting would emerge later for her. Contrast this performance with the restraint, warmth and gentleness of her Henriette in ""All This, and Heaven Too"" or the pathos she brought to ""Dark Victory."" She was a true actress and a true artist. Davis really allows herself to look like holy hell; Mildred's deterioration is absolutely pathetic as Philip seems to gain strength as her spirit fades.<br /><br />An excellent film in which to see the burgeoning of one of film's greatest stars.",positive
12455,"It is not uncommon for a celebrity to be faced with the proverbial ""wake-up call"". And, should they survive this event, they come to a deeper understanding and appreciation of their particular good fortune. However, in the case of comedian's, they are rarely as funny after their epiphany as they were prior to it. Such is the case with Martin Lawrence. Frankly, I pay little attention to celebrities as I have much better things to do with my life than to spend it monitoring others'. So, I was unaware of the majority of what Lawrence had gone through prior to this film. It was interesting but, unfortunately, all to common. I was left with the larger impression that this guy's stand-up act just wasn't very funny. Save the big life messages for a book, just be funny on stage. If you want to see a funny Martin Lawrence, go rent some of the old Def Jams for which he hosted. Don't rent Runteldat.",negative
33733,"The numbers don't lie, 109 people have voted for this film. That says a great deal about the standing of one of the most intuitively insightful comedians of the late 20th century. And for those of you who know the work of Bill Hicks, if he were alive today, imagine what he would have to say about the boy president from his home state? That his short career remains unrecognized is a sad situation and this film, or rather these two films explain why. First, you see how his talent was obvious from the start, again and again, those who knew Bill Hicks always say he was not only funny, he was also unique. The film also shows how the quality of his material was too challenging for many in the entertainment industry. His drinking also contributed to his career problems, but that is less evident in this film. And then the second film is a complete performance. If you have never seen or heard Bill Hicks, this is a wonderful introduction to the person and his dark but intelligent humor. Especially due to the fact that the topics are now almost 14 years old, yet remain ironically up to date is underlined by the fact that many of the events took place under the first President Bush.<br /><br />Watching them together - first the biography and then the performance - makes you aware of how greatly talented this young man was, how quickly his life passed and how the American media can sometimes act as the great big homogenizer. Let's make sure nothing is too provocative, nothing will be too interesting And the result? Well, as the man himself said, go to sleep America, your government is in control........... In his lifetime, at least in Great Britian this artist was recognized for his talent and was successful there. 11 years after his death, 109 people at IMDb can say something about the film. After you've seen them both, I hope you understand why more people should be listening to Bill Hicks.",positive
10858,I still find it hard to believe that a fine - if overlong - novel by Dean Koontz was transformed into this utter excrement.<br /><br />This movie is so bad it's disgusting. Boos to all who participated. Shame on you!<br /><br />P.S. The fact that sequels have appeared just goes to show how little taste and discretion remains in Silver Screen Land.,negative
5015,"Let me be clear. I hate these kinds of movies. I do not like anything where the protagonists are all bourgeoisie English. I find this kind of literature and film awfully pretentious. You will never get me to read a Jane Austen book willingly. That said, the only reason I read W. Somerset Maugham's book and watched the subsequent film was for a class.<br /><br />Mary Panton (Kristin Scott Thomas) is a beautiful English woman living in a borrowed villa in Florence before World War II. One night after dinning with some of her rich royalty related friends, she willingly picks up an Austrian refugee, has sex with him and ditches, and then he kills himself. As the movie gets further and further, you really want to dislike Mary.<br /><br />What a load of crap this movie was. First of all, there were many subplots and characters invented in the movie that weren't even in the book. I doubt very much the late Mr. Maugham would've appreciated them. The characters, though wealthy, were some of the most superficial and self-centered people I have ever seen.<br /><br />The only reason I didn't give it anything less than three stars was because the acting was the only thing redeemable. The always talented Kristin Scott Thomas is perfect for the role of Mary. In fact, I couldn't picture anybody else filling her shoes. Sean Penn and Anne Bancroft also had supporting roles, that were just as good as the lead.<br /><br />Save yourself the pain of watching this movie.",negative
18561,"YETI deserves the 8 star rating because it is the one of the greatest bad movies ever made. I saw it at a midnight screening in L.A. and people were roaring and cheering at the insanity - this movie is one of those cinematic trainwrecks where you think it cant get any stranger and THEN IT DOES! The millionaire who funds the project to thaw the Yeti looks like Chris Penn and John Goodman both poured into an ill-fitting suit - the guy playing the scientist is one of the worst actors to ever appear on screen - and yes, there is a mute boy (who sorta kinda looks like a girl) and he's mute ever since he survived a plane crash that killed both his parents (hmmm- maybe therapy for the kid??). Then this hottie Italian girl is seen by Yeti (once he thaws - which takes FOREVER) -- and he is instantly in love with her - what is one of the most hysterical things about the movie is that this giant Yeti makes ""bedroom eyes"" at her - it's like a large Barry White trying to seduce a groupie. In fact, once the large Yeti picks up the hottie and has her against his chest - she accidentally touches the Yeti's nipple and yes, the film takes the time to show his large grey nipple GET HARD!!!! Yikes of all YIKES! Plus there's a collie dog in it because the Italian producer must have heard that American audiences like dogs and he sorta kinda tried to get a Lassie - there's also this insane scene where the Yeti eats a giant fish - keeps the large fishbone and uses it to comb the Italian girl's hair ""Gee, thanks Yeti - now my hair is smooth and smells like dead trout. You're the best."" This film is more bizarre than something Ed Wood could have ever dreamt up. If you are a fan of classic cinema crap - seek this baby out.",positive
7118,"Of course the average ""Sci-Fi"" Battle Star Gallactica fan will hate this. That kind of makes me happy. I don't like those cheesy sci-fi shows especially Battle-star Gallactica and that is why I like this show.<br /><br />The creators of the show got a lot of heat for making this (the unconventional sci-fi way) and it was worth it. I read on Wiki that they wanted to appeal to everybody including women and not just sci-fi nerds.<br /><br />This is probably the most promising show since Lost. It has the most interesting, clever, and deepest script of any show in some time and it is truly unique.<br /><br />What I love most about the show is that it kind of plays out like a great Anime! From young teens running around shooting guns, to and extremely well balanced and complex script, to robots it reminds me of something that came from Japan except a little bit better (most Anime is too confusing).",positive
14503,"This is even worse than the original Game of Death. A jumbled, incoherent storyline leads to ""Billy Lo"" falling from a helicopter to the ground below, killing him, as we're left to follow his younger brother, Bobby Lo. So not only do we start out following some Bruce Lee clone, the film kills that one off and has us follow another one thirty minutes into the story. The main reason to watch this one is when Bobby Lo fights a lion, which is quite obviously a guy in a lion costume. Jang Lee Hwang is also the villain, who is usually pretty awesome but his screen time is significantly small. Mainly watched this and the original Game of Death because they're a part of the Bruce Lee boxed set. It's no wonder they're included with Lee's finished works. No one would buy them otherwise.",negative
20850,"The Education of Little Tree is just not as good as it could have been. Little Tree's education is about things like the circle of life and how you should look at a star to help you. Whatever happened to the three R's? Readin' 'Ritin' and 'Rithmetic? When the idiot back talks the teacher at the boarding school place he starts crying and talking to the sky. Oh my gosh. Sure, the lady was a little harsh, but then James Cromwell's character comes and takes him away, leaving the audience thinking that Little Tree was absolutely right. He should learn to adapt to new discipline. Those were the times! Talking to a star is not going to change a thing! Little Tree needs to learn that his adoring guardians are not always right.",negative
36985,"First of all I just want to say that I LOVE this show!!! But this episode...this episode makes a mockery of the entire show.<br /><br />I don't know what they tried to achieve with this episode but they successfully created the WORST episode in the entire series.<br /><br />There is no story line, everything is chaotic and the jokes.....are crap.<br /><br />The way they tried to answer some of the remaining questions in the game..... For example ""how do the furlings look like"" by creating that stupid ""previously on...""......is simply embarrassing.<br /><br />Its clear that the writers are running out of ideas and that is really too bad.",negative
11864,"I have only seen the minimum wage episode yet i have no intention of watching the others, how can that be? Morgan starts theatrically complaining about his awful situation living on minimum wage right at the beginning of the episode and the complaining never stops. Ever. Luckily for the viewer, his skinny girlfriend is just as annoying as Morgan (if not even more annoying).<br /><br />And then to top it all, they go to the movies and buy bottled water for 2,50 and after that go to a restaurant to eat out all the while they naturally *drumroll* complain about being poor.<br /><br />I don't care if the other episodes may or may not be better than this. No one should be forced to watch this crap.",negative
25230,"Debut? Wow--Cross-Eyed is easily one of the most enjoyable indie films that I've watched in the past year, making it hard to believe that Cross Eyed is the writer's debut film. I mean--I logged onto IMDb to find more films by this writer...because Cross Eyed has that unique signature --you want to see what else this writer might have to say. These days, its rare to see a movie that is well-written, well-directed, well-edited and well-acted. For me--Cross Eyed encapsulates what movie making should be about--combining the best of all film elements to create a clever, artistic and poignant tale. More, please.",positive
25352,Bad bad bad....<br /><br />This is another stupid movie. still don't know what is the language of this movie? is itEnglish or french or German!?!! you have to be speaking all 3 languages ( at least ); preffered Italian too to understand it. poor quality translation with very hard to read font. showing a very stupid way of ending this movie!! in the mid of the movie you will lose interest in this movie and start to think why am i watching this?! brad pitt is proving that his acting talent is going down.<br /><br />Maybe this is the movie number 1000000 that talks about Nazis. is there any other subjects that Hollywood can produce?! I think this movie is another American propaganda to show super heros American. I expect next Hollywood movie is American hero will save Jesus!!!,negative
40569,"This movie is quite better than the first one ""Astérix et Obelix contre César"", but it is far away from perfection. The adaptation of the comic book is good, some of the pictures and the dialogs of the movie are the same as in the book. But there's few things that made the movie not as interresting as the animated movie released in 1968. For example the fighting between Numerobis and Amonbofis. This wasn't necessary or even credible, either for the little love story of Astérix. There were also some stuff missing, like the songs that are in the animated movie, and some other things... I am deceived by the movie because they cutted in the stuff I was expecting tho see and they showed things that I did not wanted or needed to see. I know that it would have been very difficult to make the movie exactly the same than the comic book or the animated movie, but that's what I expected. In conclusion, even if the movie is good, I still prefer the animated movie, wich is in my opinion, far better.",positive
9572,"Being a fan of bad movies, I was thrilled to find a 3 pack of cr@ppy horror at Best Buy today. The set was cheap and included a terrible film called ""the Dark"" that I actually remember seeing in the theater.<br /><br />The remaining 2 were equally as bad. ""Creatures from the Abyss"" being probably the worst of the bunch. Since they were all bad that isn't saying much. But its stupidity, bad acting, terrible effects and retarded storyline actually made this one a lot of fun to watch. I was rolling on the floor with each new plot development. The discovery of the abandon ship, the missing crew, the realization that there was something terribly wrong!!! It was great!!! Of course, everyone's favorite scene seems to be the sex scene. OMG!! I almost lost it!!! Between that an the ""monster cam"", I have to say I enjoyed this film a lot.<br /><br />I am a fan of bad movies so I enjoyed it but in all fairness, I did have to give the movie a 1. IT WAS AWFUL... But if rubbish is your bag, at least rent this one... (YES the BAD pun was intentional)",negative
43144,"I just purchased and viewed the DVD of this film. The DVD transfer is from last year, 2001. This 1988 film is really a great little film. Overlooked by most people. I saw it in the theater in 1988 and have loved it ever since. I love the opening shot of Pittsburgh (not Baltimore, as another user commented). Makes Pittsburgh look like one of the most beautiful cities in the world! And I must say, the tour of Pitts on the garbage truck with Nicky is a very scenic, interesting one! Tom Hulce, as everyone else has said, gives a remarkable, wonderful performance. The DVD is a good transfer, with no extras, but a widescreen format. I recommend it to those who love the movie.",positive
38519,"What the heck is this about? Kelly (jennifer) seems to drop all moral behavior as soon as she arrives to the island. She finds this Juan P (Manuel) existing and exotic, though she witnessed when he slapped his ex in the face, which he also justify later on in the movie, right or wrong? These two guys are the first to find each other on the island. Kelly are totally lost in every sense and the great Juan P can fish and built a somewhat house. Mr handyman. They seem to have a great time. Then Billy Zane (Jack, Kellys characters husband) shows up and of course, two days without knowing what his wife has been doing whit this gorgeous Juan P, he is a little bit jealous. Billy Z is the stereotype rich guy and maybe not the nicest man in the world. He dislikes Juan P (for hitting his girlfriend at the pier, who can blame him? Hes also is arrogant, but he paid loads of money to rent that boat and Juan P who is the waiter/everything cant even fetch him a beer whit in 20 min. Wouldn't you be upset? Yet Billy is probably the guy you want to punch in the face if you meet him. But at the same time, he is, not to be blamed for, suspicious about the scuba goggles Manuel has. Kelly and Billy just lost some dear friends! How convenient he just happens to have them, no matter what!). However, for some strange reason Kelly likes this girl hitting Manuel and starts to hate Billy for being jealous. OK, Billy is overreacting, thats for sure, but Kelly isn't doing much to convince him either. She spends more time with Juan P and even wants him to sleep with them since hes been so nice (and even though Manuel yelled at her and calling her things for asking him some intimate questions. But Kelly is SO forgiving...). Yeah right. And then she starts to have sex with this Juan P. It should be said that Kelly and Billy seems to have a working relationship before this island incident, at least, they have intimate sex on the boat and talks like people do when they like each other. Now, you can think that this scenario is possible. But for real, is it? Are you cheating your husband after two days on a coconut island just because hes jealous and acts like a drunk in the bar? (i wouldn't disagree if there relationship was really bad but the director doesn't give much hints if thats the case). For Christ sake, Juan P hasn't really shown himself being a good person. Catching some fish and built a wood house to get into someones panties, is that showing a good side? Not trying to befriend Kellys husband in anyway (which would be very simple by letting them be alone most of the island-time, simply be respect) He doesn't care about their relationship (and Kelly cant figure that one out), he just want to have sex with Kelly. Kellys character is just not trustworthy (if she was stranded with Billy and another attractive girl, wouldn't she be upset or what?!). Or maybe she is? Billy Zane plays a not very nice person, and Juan P isn't actually much better if you really think about it. And poor Kelly is so confused, and believes having sex with Juan P will solve everything because her husband is so strange and so aggressive towards poor Juan P? So... for all of you who reads this... What do you think about it? If you where the Kelly character, would you consider cheating on your husband, knowing one day you'll be back in real life, and all of a sudden Billys maybe not that horrible person after all. Hes just too jealous. And if you where Billys character, what do you say, is he totally wrong in his behavior? And Juan P character what do you guys really think of him. One thing is for sure. Manuels exist! Ps... The voodoo thing is so totally wrong here! What the heck was that about?! Seriously! Anyone tell me?",negative
31244,"This is the last time I rent a video without checking in at the IMDB reviews. The Limey is directed by Steven Soderbergh who also wrote wrote the truly awful Nightwatch with Ewan Macgregor and directed such trash as Out of Sight with the anti-talented Jennifer Lopez. Terence Stamp is a fine actor and it is a shame he involved himself in such a bad film. There is frequent confusing editing that seems like it was a last minute decision in order to make up for the lack or story, filming and just plain common sense. This film does everything wrong. What were they thinking?",negative
4310,This is a must for All but especially African Americans. It is about time there is a movie that expresses and shows the concerns going on in African American relationships. It also allows other cultures to see in a fictional humorous manner how positive African American relationships are and the outcomes of them instead of the undesirable stereotype that plagues the African American community. I love this film a must see!!,positive
3226,"One of the commentators on the subject of Lil' Pimp (dbborroughs of Glen Cove), got it right when he/she stated that the movie is really bad but I take exception when he/she commented on the animation.<br /><br />The animation wasn't bad because of Macromedia Flash. It was bad animation because it was directed wrong. Flash is just a tool. In the right hands, an artist can create animation as full and fluid as any Disney film and, in the wrong hands, it can look as bad as the stuff on the internet, which is where Lil' Pimp originated and should've stayed there.<br /><br />Studios such as Cartoon Network, Nickelodeon, Disney, and Warner Bros., create wonderful animation using Flash (i.e., Puffy Ami Yumi, Foster's Home for Imaginary Friends, Mucha Lucha, etc.).<br /><br />Lil' Pimp was an ill conceived piece of tripe that was made because Revolution Studios bought Media Tripp and Lil' Pimp was one of the properties included. Roth and company thought they'd make a quick buck exploiting a turd like Lil' Pimp and the sham was perpetuated by it's producer, Amy Pell. The reason for this third trimester abortion of an animated film is that none of the executives at Revolution Studios had the pragmatic brains to sideline Mark Brooks and Peter Gilstrap (they really tried their best but were way in over their heads), and hire real writers, directors and at least a semi-competent producer. They did one thing correctly though, they hired some of the best storyboarders, designers, and animators in LA, but as Lil' Pimp demonstrates, one can buy the best sports car on the floor but if you're a moron, you'll wreck it for sure.",negative
13744,"This film looks great, and that's about where my praise ends. ""Love Is a Many Splendored Thing"" came out in the very schizophrenic year of 1955, when candy-coloured nonsense like this co-existed with trail-blazing artistic fair like ""Kiss Me Deadly."" As a trend toward smaller, socially conscious films like ""On the Waterfront"" and ""Marty"" established itself in the mid-50's, other directors felt the need to stick with the unchallenging, pandering melodrama that classifies so many other films from that decade, and ""Love"" is one of the latter.<br /><br />This is the kind of 50's movie where the Technicolor is used to its garish utmost and the lighting is invariably high-key; even scenes taking place in a dark room or at night are brighter than the average sunny day. I never want to hear the theme song again, as it's played frequently enough over the course of the film to last anyone a lifetime, and I certainly don't want to hear it sung by the shrill, ear-piercing choir that belts it out over the end titles. Jennifer Jones and William Holden are passable, but really anybody could have played these parts. Jones' role is horribly written--her character is incredibly inconsistent, and it seems as if whenever her character is required to make a decision about something, the screenwriters flipped a coin to decide what that decision would be.<br /><br />People will undoubtedly tell me I'm taking this film too seriously, that I'm unromantic, etc. But I loved ""All That Heaven Allows,"" released the same year and just as cornball in its own way, except that Douglas Sirk is able to turn melodrama into an art form, whereas Henry King (director of ""Love"") is not.<br /><br />I'm usually able to enjoy bad melodrama, but in this case I was just bored.<br /><br />Grade: D+",negative
48989,"This film is not only the last piece of the Three Colours trilogy, but also the best of the three and one of the best movies of the 90s. There's hardly another movie that so wisely and consequently asks for humanity and respect for every human being. <br /><br />Valentine (Irene Jacob) lives in Geneva, where she works as a model. Though she has a boyfriend, she seems to be rather lonely. One night she has an accident and injures a dog and who leads her to his owner, a retired jugde (Jean-Louis Trintignant), who is cynical and spies his neighbors phone calls. Disgusted by him she cannot go away and they meet again. Two lonely souls meet each other and they become friends and develop a deep love for each other. <br /><br />The story itself is too complex to be told completely, there is another connection between them in a young man who represents both the judge and Valentines real love and there is more to their relationship than only friendship.<br /><br />The actors are wonderful, Irene Jacob and Jean-Louis Trintignant developing a deep and authentic friendship. <br /><br />The topics are of an endless validity, Fraternity, not only in contact with each other, but also in the respect for the right of privacy. Alarmingly we seem to loose this right more and more, which makes movies like this one even more important than it might have been in 1994.<br /><br />Red is one of the strongest colours that exists, representing inner turmoil, love, anger and passion. Used here as another protagonist, it brings a unmatched depth to the movie. A masterpiece!",positive
46196,"The Rookie is based on the true story of a 40+ year old school teacher in Big Lake, Texas reaching the majors. Jimmy Morris (Dennis Quaid) is a small-town high school science teacher and baseball coach. His team is losing terribly until the team discovers that their coach played in minor leagues and can throw a pitch 98 mph. <br /><br />After throwing batting practice and a wager is made, Jim agrees that if his team wins regional's, he'll try out for the Major Leagues. The movie tells the story from Jimmy being boy to playing in his first game in the majors. It is a great underdog story and a very friendly family movie. Dennis Quaid makes the movie worth while, giving an emotional performance and is supported by an excellent supporting cast which includes: Brian Cox, Rachel Griffiths, and Angus T. Jones. <br /><br />The story takes a little while to develop and some scenes are a bit slow but it all works in well by the end. The baseball scenes are fun, well-filmed, and portrayed excellently. The movie really isn't about baseball but about one man's quest to reach his dream. It's inspiring, it's emotional, and it's funny. I liked it, I hope you do.<br /><br />The Rookie. Starring: Dennis Quaid, Brian Cox, Rachel Griffiths, and Angus T. Jones.<br /><br />4 out of 5 Stars.",positive
42000,"It's incredible how a movie can take so much time and effort and still end up being abominable. For those of you who appreciate painstaking special effects and inconceivable detail in every shot you will watch this film in awe. Simply because Predator Island contains none of this. It is a redundant remake of every horror monster movie in the last two decades. Now I appreciate bad horror films, they have a certain flare for humor in the most dramatic of circumstances. However, if your goal is to create a memorable work that will thus be engulfed in the Cult Hall of Fame then my first suggestion is to find some imagination/creativity plus get some talent. Oh, and a few extra bucks to put into your picture.<br /><br />One horror film tradition has been to shock the audience with violent deaths and gore. However, shock doesn't deliver for more than a few seconds. To really evoke a satisfying reaction from paying crowd there should b development of characters, some identifiable traits. I know, you're probably saying this guy is not providing anything intelligent to the filmmakers, he's just stating an amateur remark. Well, that goes to show you how amateur these filmmakers are.<br /><br />Despite having to go through the horror of watching this movie, there was a silver lining. The performance by Dan Gordon as Chris is splendid. He is given nothing to work with in a script and yet he is able to come out of that film looking like a star. Out of all of the actors he is the only who believes in what he is reciting. He not only provides the audience with someone we can identify with but we also have someone we look forward to watching so we can get through the rest of the film. Gordon shows genuine talent and the ability to pull off quality work and overcoming a huge obstacle, that being the rest of the cast. Dan Gordon is going to be a star, hopefully sooner than later. That is to say if he can get away films like this that will hold him back.",negative
16647,"An actress making a movie in Africa is kidnapped and taken into the jungle where she is held for ransom. The producer hires some one to go and bring her back. Complicating everything are the cannibals in the jungle who worship a really ugly looking ""god"" who likes to eat naked women.<br /><br />This is a gory sleazy movie. There is copious amounts of nudity and violence, not to mention violence against nude people. Its an exploitation film designed to appeal to the deepest darkest parts of our being, and if the movie wasn't so boring this film would be a classic. Lets face it, despite the gore, the nasty sex and abuse,and the ugly monster this movie is a snoozer. The pacing is all off kilter and it puts you out. There are multiple plot lines that all seem to be happening separately from each other, even though its ultimately all one story. Worst of all, almost no one says anything. Most of the minimal dialog concerns the cruelty or one characters protestations that ""I'll do what I want"". Its such a quiet and dull movie that if it weren't for the frequent screams of the victims I'd recommend this as a sleep aide.<br /><br />This is a movie to avoid unless you need sleep, or unless you need to see every Euro-cannibal movie.<br /><br />(An aside. VideoAsia just released this as part of their Terror Tales series. Their print is oddly letter-boxed which looks to be the result of taking their print from a Japanese source (there is fogging) that was cropped to remove the subtitles. Their print also has no opening titles)",negative
16657,"To me, this movie was just plain confusing, slow, and uninteresting. Why did the aliens choose to communicate through ants? It makes no sense. The ending was muddled and made no sense whatsoever. In the end, I was hoping that the ants would kill everyone.<br /><br />Avoid this one at all costs. Not even MST3K could save it.",negative
13136,"This has to be the worst, and I mean worst biker movie ever made! And that's saying a lot because the line of stinkers is long and smelly!<br /><br />Now at least we know what happened to Ginger after she was rescued from Gilligan's Island! A frightened looking Tina Louise(she was probably afraid someone would see this mess!)is a stranded motorist who is tormented by the most repulsive motorcycle gang in film history. But, don't worry fans! Batman, I mean Adam West as a hick-town doctor comes to the rescue! Pow! Crush! Boom! Holy Toledo Batman! <br /><br />The only good points of this ""bomb"" are some cute women, some laughable fight scenes, and the still ""sexy"" Tina Louise!",negative
17491,"""Birth of the Beatles"", for being a US television movie, released in the fall of 1979 has actually been, so far the best movie which tells the tale of the the four lads from Liverpool that revolutionized the music industry and the world. As told by the point of view of former Beatle Pete Best. The performance from the entire cast is excellent but, most especially the performance by Stephen Mackenna as John Lennon and Rod Culbertson as Paul McCartney. The film was produced by a legend of the Rock and Roll era,Mr Dick Clark. Who a year earlier in 1978 had produced another TV movie, that has stood the test of time starring ""Kurt Rusell"" in the lead role about another musical legend; ""ELVIS"". That movie was directed by an unknown director named ""John Carpenter"" who went on to direct other successful movies such as; ""Halloween"",""Escape From New York"", and ""The Thing"". The same can be said for the director of the ""Birth of the Beatles"", Mr Richard Marquand. He went on to direct other theatrical blockbusters such as ""Star Wars Return of the Jedi"",""Eye of the Needle"",and ""Jagged Edge"" among many. The only other film that tells the story of the Fab Four that I know of,is Back Beat which had a theatrical release in 1994. However, the critics did not care for it,nor did the public, for it did not have a long life span in the theater. Birth of the Beatles is very charming and simplistic film that gives you the essence of the beginning of the legend and the struggles & hardships they went thru and ends at there pinnacle of success when they arrive in NYC and appear in the Ed Sullivan show in 1964. I highly recommend this film.",positive
36318,"This film makes about as much sense as an 'Ozzie & Harriet' or a 'Father Knows Best' episode. An old copy of Reader's Digest (circa 1962) would provide more insight into modern life, or the relationship between a father and a daughter, than this weird concoction.<br /><br />I was surprised with Diane Keaton. She appears to sleepwalk through the film. (Given the film's title, I realize that hers was a supporting role but even Martin Short managed a distinct, supporting character.)<br /><br />I can understand the attraction of an imaginary world created in a good romantic comedy. But this film is the prozac version of an imaginary world. I'm frightened to consider that anyone could enjoy it even as pure fantasy.",negative
43256,"Where to start? OK, don't compare this film to fight club for a start - ridiculous. If it was even a patch on fight club, the violence, blood, gore etc would be much more evident and realistic. Secondly, this film is no football factory - which is so much more real (and Danny Dyer makes Nicholas Nickelby look like an embarrassment). Fair enough, the storyline is quite decent and the fight scenes are well choreographed - with a decent ending i might add. But the film on the whole is poor, seriously poor. As people have been mentioning the accents should not spoil a film - i disagree - either a simple casting error, or a lack of effort in coaching the voices caused the film to be irritating all the way through - it was obvious from scene one some American/Geordie was playing the role. Don't get me wrong, good looking guy, who looks great with a skin head - but no not a football hooligan. I could go on forever about how ridiculous the football scene was - the 'fake steward' situation. Also, when the GSE are going to play United up north, they go on the train expecting only 3 of them - doesn't make any sense - this a real organisation of gangsters and thugs, which is portrayed in the film to be some mickey mouse cult of about 5 people. In terms of accuracy - did West Ham and Milwall not play for the last couple of years they have been in the Championship together? Hmm, ten years OK. And I'm sure 'Bother' would be able to just waltz into a Milwall firm pub. Basically, a very poor film which people will like if they have little knowledge of real football, and hooliganism. If you do actually love football and are intrigued by the underworld of hooliganism,, you will simply feel as though this film has insulted your intelligence. Ross George",negative
12980,"However closely the movie is to the comics, it doesn't matter. This movie radically moves away from the boredom of ""Interview with the Vampire"" (although it's acting was good) and slides in the wonderful action scenes. Very convincing tale and interesting with surprisingly good acting from all. Disadvantage - poor graphics. Does it matter? Nope.",positive
18371,"Textbook example of an underestimated movie.<br /><br />Although one can watch this movie over and over again and laugh every single time and still see something new in it, it's still regarded as just another funny picture. And although the movie has inspired many and added it's quotes and images to the pyche of all it's viewers, Moon Over Parador still hasn't received the acclaim it should. Even the brilliant cast with Academy Award winner Richard Dreyfuss and Raul Julia, to mention one, is not able to change this perception.<br /><br />But after watching Raul Julia as Roberto Strausmann make Richard Dreyfus an offer he can't refuse in a meatlocker by reading him a good review of a part that he once played one can only come to one conclusion: this stuff is timeless! In fifty years we will have the proof.",positive
46260,This tearful movie about a sister and her battle to save as many souls as she can is very moving. The film does well in picking up the characters and showing how Sister Helen deals with each.<br /><br />A wonderful journey from life to death.<br /><br />,positive
1760,"Funny. Sad. Charming. These are all words that floated through my head while I was watching this beautiful, simple film.<br /><br />It is rare that a movie truly moves me, but ""Shall We Dance?"" accomplished that with grace to spare. Gentle humor mixed in with occasional subtle agony made this easily one of the best experiences of my movie-viewing history. It left me with a quiet sense of exultation, but with a small touch of sadness mixed in.<br /><br />And the dancing, oh yes, the dancing. Even if you are not a lover of the art, or can't put one foot in front of another, the steps displayed here will take your breath away, and make you want to sign up for classes as fast as you can. It was absolutely enchanting, even the parts that show Sugiyama's (touchingly portrayed by Koji Yakusho) stilted steps when he was first learning to dance were lovely in a humorous, child-like way. And yet, this film was not entirely about dancing, but more about the subtleties of human behavior and feelings. We witness a shy man learning to express his repressed feelings through dance, a beautiful dance instructor rediscovering her love for the art, and the personal growth of every member of the wonderful supporting cast.<br /><br />Beauty. Pain. Emotion. All the love and little agonies of life are here, expressed with the delicate feeling of a fine Japanese watercolor painting combined with the emotional strength and grace of the culture.<br /><br />",positive
17978,"I'm going to talk about this movie from two different perspectives here. First is from the view of if someone sees the movie and never read (and may not ever read) the book. The second is from someone who has.<br /><br />(Movie without book) From a movie standpoint, it was an okay movie. Nowhere near as good as either of the Underworlds but much better than UltraViolet. And I'm not just talking plot line either. The visual effects were iffy in many of the parts, though the wolf transformation was very nice. The characters has very little development and Vivian didn't even seem to truly care that her ""love"" was killing off what was left of her species. Some of the other characters could have had more air-time, like The Five. The plot was way to similar to Underworld for my tastes.<br /><br />(Movie WITH book) As many have stated, other than the title, character names and a few minor parts, the movie and the book are nothing alike. In the movie, Gabriel was a lot older and was the father of Rafe (thus Astrid was once his mate). In the book, Gab was about 24, never mated with anyone since wolves mate for life (Astrid is trying to win his affection) and Astrid was the mother of Ulf, not Rafe. Another important thing is the location. The book took place in Riverview, Maryland. Also, why they moved from West Virginia is very different. The movie has it being Vivian's fault and her entire family was killed due to it. In the book, the original leader of The Five, named Axel, killed a girl from their school. Hunters tracked down the wolves and killed many of them (Viv's father included), forcing them to move. Also, Viv's mom, Esme was a major character.<br /><br />One thing from the book that would have made the movie better would have been the ""bitch's dance"". For those who don't know, it's the ordeal where all the bitches (females of the pack) fight to see who is the one to be the mate of the new leader (since earlier there was a fight for the males). Vivian won it, trying to save her mother from Astrid (who is a horrid evil woman in the book) and thus was supposed to mate with Gab. There was no prophecy! Anyway, if you've read the book and you liked the book, I highly suggest NOT seeing this film.",negative
